intron_group	seqnames	start	end	width	strand	gene_name	gene_id	SpliceLeft	SpliceRight	SpliceMax	intronicCount	SIRratio
122774	10	37181351	37181443	93	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122775	10	37184573	37185512	940	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122776	10	37185542	37185639	98	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122777	10	37185713	37187957	2245	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122778	10	37188020	37189466	1447	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122779	10	37189558	37193063	3506	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122780	10	37193093	37193185	93	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122781	10	37193259	37197280	4022	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122782	10	37197310	37197407	98	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122783	10	37197481	37199726	2246	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122784	10	37199789	37201234	1446	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122785	10	37201326	37216180	14855	+	ANKRD30A	ENSG00000148513	0	0	0	1	0.0295501965160852
122786	10	37216395	37217694	1300	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122787	10	37217879	37218979	1101	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122788	10	37219898	37231460	11563	+	ANKRD30A	ENSG00000148513	0	0	0	1	0.0377224199288256
122789	10	37231681	37232498	818	+	ANKRD30A	ENSG00000148513	0	0	0	0	0
122790	10	37524020	37528480	4461	+	TACC1P1	ENSG00000224920	0	0	0	0	0
122791	10	37528541	37530344	1804	+	TACC1P1	ENSG00000224920	0	0	0	0	0
122792	10	37530552	37534598	4047	+	TACC1P1	ENSG00000224920	0	0	0	0	0
122793	10	37534652	37544576	9925	+	TACC1P1	ENSG00000224920	0	0	0	1	1
122794	10	37858533	37859077	545	+	AL135791.1	ENSG00000236514	0	0	0	10	0.942398132305588
122795	10	37883740	37884014	275	+	ZNF37CP	ENSG00000151963	1	1	1	0	0
122796	10	37977006	37980288	3283	+	ZNF25-DT	ENSG00000226447	0	0	0	0	0
122797	10	37980411	37992326	11916	+	ZNF25-DT	ENSG00000226447	0	0	0	0	0
122798	10	38010784	38012297	1514	+	ZNF33A	ENSG00000189180	116	115	116	20	0.0366739372256546
122799	10	38012351	38015966	3616	+	ZNF33A	ENSG00000189180	113	12	113	101	0.0686016313860755
122800	10	38016046	38016870	825	+	ZNF33A	ENSG00000189180	2	108	108	17	0.0545467031299978
122801	10	38017021	38017290	270	+	ZNF33A	ENSG00000189180	11	96	96	1	0.012042482877336
122802	10	38017387	38054374	36988	+	ZNF33A	ENSG00000189180	63	46	63	250	0.0251223077451739
122803	10	38054512	38064087	9576	+	ZNF33A	ENSG00000189180	0	0	0	1053	0.556748602411437
122804	10	38159829	38161572	1744	+	AL117339.5	ENSG00000283930	0	0	0	0	0
122805	10	38358516	38362239	3724	+	HSD17B7P2	ENSG00000099251	19	15	19	146	0.197848926289082
122806	10	38362339	38363495	1157	+	HSD17B7P2	ENSG00000099251	38	26	38	1	0.00447636808808048
122807	10	38363611	38365433	1823	+	HSD17B7P2	ENSG00000099251	33	35	35	8	0.0216774250800853
122808	10	38365630	38369123	3494	+	HSD17B7P2	ENSG00000099251	0	0	0	38	0.0673549546878158
122809	10	38369229	38369952	724	+	HSD17B7P2	ENSG00000099251	0	0	0	10	0.0844308482259032
122810	10	38370010	38371074	1065	+	HSD17B7P2	ENSG00000099251	27	27	27	4	0.0183174498430565
122811	10	38371174	38377984	6811	+	HSD17B7P2	ENSG00000099251	35	34	35	143	0.0968797528485886
122812	10	38403551	38407630	4080	+	AL133216.2	ENSG00000276805	7	13	13	4	0.0179006471357768
122813	10	38407741	38408802	1062	+	AL133216.2	ENSG00000276805	8	8	8	1	0.0177153002499838
122814	10	38408935	38412227	3293	+	AL133216.2	ENSG00000276805	7	7	7	0	0
122815	10	38412444	38412728	285	+	AL133216.2	ENSG00000276805	10	4	10	0	0
122816	10	38412883	38413326	444	+	AL133216.2	ENSG00000276805	0	0	0	0	0
122817	10	38413393	38415543	2151	+	AL133216.2	ENSG00000276805	3	3	3	0	0
122818	10	38415603	38416681	1079	+	AL133216.2	ENSG00000276805	4	4	4	5	0.0947132479721519
122819	10	38416777	38417126	350	+	AL133216.2	ENSG00000276805	0	0	0	18	0.834771873043832
122820	10	38417205	38422767	5563	+	AL133216.2	ENSG00000276805	3	3	3	0	0
122821	10	38425884	38435129	9246	+	AL133216.2	ENSG00000276805	5	2	5	22	0.0531663948673934
122822	10	38435254	38437108	1855	+	AL133216.2	ENSG00000276805	0	0	0	5	0.0692048375480432
122823	10	38437207	38437543	337	+	AL133216.2	ENSG00000276805	5	5	5	0	0
122824	10	38437741	38438857	1117	+	AL133216.2	ENSG00000276805	1	1	1	1	0.0213999393715202
122825	10	38439027	38444544	5518	+	AL133216.2	ENSG00000276805	0	0	0	10	0.048420163273116
122826	10	38444664	38445416	753	+	AL133216.2	ENSG00000276805	1	1	1	2	0.0572313248457553
122827	10	38445608	38447663	2056	+	AL133216.2	ENSG00000276805	30	30	30	4	0.0240991179199679
122828	10	38447722	38447814	93	+	AL133216.2	ENSG00000276805	27	27	27	0	0
122829	10	38453531	38457680	4150	+	AL133216.1	ENSG00000203496	0	0	0	3	1
122830	10	38457850	38465968	8119	+	AL133216.1	ENSG00000203496	0	0	0	0	0
122831	10	38601567	38603863	2297	+	ABCD1P2	ENSG00000215151	0	0	0	0	0
122832	10	38603949	38604097	149	+	ABCD1P2	ENSG00000215151	0	0	0	0	0
122833	10	38604228	38604372	145	+	ABCD1P2	ENSG00000215151	0	0	0	0	0
122834	10	38713282	38718048	4767	+	CHEK2P5	ENSG00000234541	0	0	0	0	0
122835	10	38718130	38719151	1022	+	CHEK2P5	ENSG00000234541	0	0	0	0	0
122836	10	42185370	42185493	124	+	IGKV1OR10-1	ENSG00000237592	0	0	0	0	0
122837	10	42242772	42250984	8213	+	AL031601.2	ENSG00000274167	0	0	0	0	0
122838	10	42251161	42271796	20636	+	AL031601.2	ENSG00000274167	0	0	0	0	0
122839	10	42476531	42477260	730	+	LINC00839	ENSG00000185904	0	0	0	0	0
122840	10	42477443	42486978	9536	+	LINC00839	ENSG00000185904	0	0	0	0	0
122841	10	42487127	42489251	2125	+	LINC00839	ENSG00000185904	0	0	0	0	0
122842	10	42492343	42494014	1672	+	LINC00839	ENSG00000185904	0	0	0	1	1
122843	10	42638554	42644992	6439	+	AL022345.4	ENSG00000285884	0	0	0	8	1
122844	10	42696212	42701501	5290	+	LINC02632	ENSG00000234864	0	0	0	1	1
122845	10	42702258	42703421	1164	+	LINC02632	ENSG00000234864	0	0	0	0	0
122846	10	42725978	42734707	8730	+	RSU1P1	ENSG00000230425	0	0	0	0	0
122847	10	42734827	42736688	1862	+	RSU1P1	ENSG00000230425	0	0	0	0	0
122848	10	42736772	42737041	270	+	RSU1P1	ENSG00000230425	0	0	0	0	0
122849	10	42782831	42784361	1531	+	BMS1	ENSG00000165733	110	132	132	16	0.010994729147307
122850	10	42784571	42785481	911	+	BMS1	ENSG00000165733	222	224	224	1	0.0010710705620919
122851	10	42785673	42787167	1495	+	BMS1	ENSG00000165733	111	110	111	5	0.00382641365977709
122852	10	42787248	42790322	3075	+	BMS1	ENSG00000165733	124	122	124	3	0.00109259514589599
122853	10	42790512	42791626	1115	+	BMS1	ENSG00000165733	147	149	149	1	0.000951391882111094
122854	10	42791770	42792492	723	+	BMS1	ENSG00000165733	171	171	171	3	0.00452263294257703
122855	10	42792615	42792956	342	+	BMS1	ENSG00000165733	146	146	146	12	0.0294504450418786
122856	10	42793145	42793851	707	+	BMS1	ENSG00000165733	185	185	185	1	0.00151006963905254
122857	10	42793992	42796473	2482	+	BMS1	ENSG00000165733	169	171	171	6	0.00266732968328706
122858	10	42797232	42797421	190	+	BMS1	ENSG00000165733	119	119	119	0	0
122859	10	42797524	42798467	944	+	BMS1	ENSG00000165733	116	116	116	2	0.00218675418245104
122860	10	42798626	42802136	3511	+	BMS1	ENSG00000165733	118	113	118	18	0.00572131929656173
122861	10	42802219	42816598	14380	+	BMS1	ENSG00000165733	180	177	180	73	0.00570473087624446
122862	10	42816673	42817317	645	+	BMS1	ENSG00000165733	160	166	166	9	0.0134105657478866
122863	10	42817495	42820235	2741	+	BMS1	ENSG00000165733	232	227	232	25	0.00964402330821728
122864	10	42820425	42820507	83	+	BMS1	ENSG00000165733	226	231	231	7	0.0481725752461124
122865	10	42820689	42820933	245	+	BMS1	ENSG00000165733	133	133	133	1	0.00380657146131204
122866	10	42820993	42822061	1069	+	BMS1	ENSG00000165733	134	134	134	10	0.00945766812988236
122867	10	42822185	42823117	933	+	BMS1	ENSG00000165733	116	114	116	17	0.0183433916165274
122868	10	42823266	42823608	343	+	BMS1	ENSG00000165733	234	235	235	8	0.0191779517139514
122869	10	42823785	42830260	6476	+	BMS1	ENSG00000165733	218	219	219	92	0.0151877996239054
122870	10	42830423	42830865	443	+	BMS1	ENSG00000165733	178	178	178	4	0.00995255230289621
122871	10	42871683	42872508	826	+	LINC02623	ENSG00000234944	0	0	0	0	0
122872	10	43077332	43100458	23127	+	RET	ENSG00000165731	0	0	0	0	0
122873	10	43100723	43102301	1579	+	RET	ENSG00000165731	0	0	0	0	0
122874	10	43102630	43104951	2322	+	RET	ENSG00000165731	0	0	0	0	0
122875	10	43105194	43106375	1182	+	RET	ENSG00000165731	0	0	0	0	0
122876	10	43106572	43109030	2459	+	RET	ENSG00000165731	1	1	1	0	0
122877	10	43109231	43111206	1976	+	RET	ENSG00000165731	2	2	2	0	0
122878	10	43111466	43112098	633	+	RET	ENSG00000165731	0	0	0	0	0
122879	10	43112225	43112852	628	+	RET	ENSG00000165731	0	0	0	0	0
122880	10	43112964	43113555	592	+	RET	ENSG00000165731	0	0	0	0	0
122881	10	43113676	43114479	804	+	RET	ENSG00000165731	0	0	0	0	0
122882	10	43114737	43116583	1847	+	RET	ENSG00000165731	0	0	0	0	0
122883	10	43116732	43118372	1641	+	RET	ENSG00000165731	1	1	1	0	0
122884	10	43118481	43119530	1050	+	RET	ENSG00000165731	0	0	0	1	0.181658871773936
122885	10	43119746	43120080	335	+	RET	ENSG00000165731	0	0	0	0	0
122886	10	43120204	43121945	1742	+	RET	ENSG00000165731	0	0	0	0	0
122887	10	43122017	43123670	1654	+	RET	ENSG00000165731	0	0	0	0	0
122888	10	43123809	43124882	1074	+	RET	ENSG00000165731	0	0	0	0	0
122889	10	43124983	43126574	1592	+	RET	ENSG00000165731	0	0	0	0	0
122890	10	43126723	43128111	1389	+	RET	ENSG00000165731	0	0	0	0	0
122891	10	43138568	43154896	16329	+	CSGALNACT2	ENSG00000169826	32	30	32	45	0.00841494604941453
122892	10	43155811	43158714	2904	+	CSGALNACT2	ENSG00000169826	69	69	69	8	0.00766124768868856
122893	10	43158932	43160493	1562	+	CSGALNACT2	ENSG00000169826	52	52	52	19	0.0331091051320782
122894	10	43160596	43163865	3270	+	CSGALNACT2	ENSG00000169826	39	32	39	161	0.135009823731273
122895	10	43164045	43167003	2959	+	CSGALNACT2	ENSG00000169826	44	48	48	74	0.0691725921300255
122896	10	43167099	43175950	8852	+	CSGALNACT2	ENSG00000169826	51	55	55	58	0.0187020399867369
122897	10	43176033	43183249	7217	+	CSGALNACT2	ENSG00000169826	119	119	119	20	0.00722216041572101
122898	10	43323701	43327370	3670	+	LINC02633	ENSG00000224265	0	0	0	0	0
122899	10	43327463	43327669	207	+	LINC02633	ENSG00000224265	0	0	0	0	0
122900	10	43371698	43372726	1029	+	FXYD4	ENSG00000150201	0	0	0	0	0
122901	10	43372773	43373461	689	+	FXYD4	ENSG00000150201	0	0	0	0	0
122902	10	43373784	43374469	686	+	FXYD4	ENSG00000150201	0	0	0	0	0
122903	10	43374503	43374612	110	+	FXYD4	ENSG00000150201	0	0	0	0	0
122904	10	43374640	43375498	859	+	FXYD4	ENSG00000150201	0	0	0	0	0
122905	10	43375574	43375694	121	+	FXYD4	ENSG00000150201	0	0	0	0	0
122906	10	43375735	43376031	297	+	FXYD4	ENSG00000150201	0	0	0	0	0
122907	10	43376070	43376146	77	+	FXYD4	ENSG00000150201	0	0	0	0	0
122908	10	43421067	43421669	603	+	AL450326.1	ENSG00000230555	8	8	8	0	0
122909	10	43437263	43454064	16802	+	ZNF487	ENSG00000243660	0	0	0	17	0.0378997726536087
122910	10	43475848	43476106	259	+	ZNF487	ENSG00000243660	7	6	7	0	0
122911	10	43476203	43481428	5226	+	ZNF487	ENSG00000243660	6	7	7	1	0.00485479463378048
122912	10	43606564	43606996	433	+	ZNF485	ENSG00000198298	0	0	0	1	0.0303170335331946
122913	10	43607075	43608613	1539	+	ZNF485	ENSG00000198298	7	7	7	8	0.0581463946914919
122914	10	43608741	43609254	514	+	ZNF485	ENSG00000198298	10	10	10	6	0.108393461552646
122915	10	43609351	43616290	6940	+	ZNF485	ENSG00000198298	12	10	12	29	0.0451959820887861
122916	10	43671522	43671717	196	+	ZNF32-AS3	ENSG00000223910	0	0	0	0	0
122917	10	43672079	43672307	229	+	ZNF32-AS3	ENSG00000223910	0	0	0	0	0
122918	10	43672446	43673833	1388	+	ZNF32-AS3	ENSG00000223910	0	0	0	0	0
122919	10	43779884	43796785	16902	+	LINC00840	ENSG00000226808	0	0	0	3	1
122920	10	43846883	43849673	2791	+	LINC00840	ENSG00000226808	0	0	0	0	0
122921	10	43857960	43859526	1567	+	LINC00840	ENSG00000226808	0	0	0	0	0
122922	10	43860124	43860214	91	+	LINC00840	ENSG00000226808	0	0	0	0	0
122923	10	43860361	43861878	1518	+	LINC00840	ENSG00000226808	0	0	0	0	0
122924	10	43861928	43867156	5229	+	LINC00840	ENSG00000226808	0	0	0	0	0
122925	10	43867340	43867563	224	+	LINC00840	ENSG00000226808	0	0	0	0	0
122926	10	43874413	43874955	543	+	LINC00840	ENSG00000226808	0	0	0	0	0
122927	10	43900416	43900704	289	+	LINC00840	ENSG00000226808	0	0	0	0	0
122928	10	43909370	43909542	173	+	LINC00841	ENSG00000233395	0	0	0	0	0
122929	10	43909660	43909854	195	+	LINC00841	ENSG00000233395	0	0	0	0	0
122930	10	43940543	43940721	179	+	LINC00841	ENSG00000233395	0	0	0	0	0
122931	10	43940978	43943191	2214	+	LINC00841	ENSG00000233395	0	0	0	0	0
122932	10	43943282	43943856	575	+	LINC00841	ENSG00000233395	0	0	0	0	0
122933	10	43943992	43944361	370	+	LINC00841	ENSG00000233395	0	0	0	0	0
122934	10	43965590	43966544	955	+	LINC00841	ENSG00000233395	0	0	0	0	0
122935	10	43966715	43980453	13739	+	LINC00841	ENSG00000233395	0	0	0	1	1
122936	10	44292934	44293300	367	+	C10orf142	ENSG00000277288	0	0	0	1	1
122937	10	44293490	44293912	423	+	C10orf142	ENSG00000277288	0	0	0	1	1
122938	10	44510765	44513811	3047	+	AL356157.3	ENSG00000287173	0	0	0	0	0
122939	10	44514064	44515068	1005	+	AL356157.3	ENSG00000287173	0	0	0	0	0
122940	10	44911583	44927920	16338	+	TMEM72	ENSG00000187783	0	0	0	5	1
122941	10	44927988	44931997	4010	+	TMEM72	ENSG00000187783	0	0	0	2	1
122942	10	44932070	44933636	1567	+	TMEM72	ENSG00000187783	0	0	0	0	0
122943	10	44933777	44934655	879	+	TMEM72	ENSG00000187783	0	0	0	0	0
122944	10	44937676	44955468	17793	+	AL353801.1	ENSG00000223462	0	0	0	121	1
122945	10	44959867	44970164	10298	+	RASSF4	ENSG00000107551	237	237	237	10	0.00154312111092648
122946	10	44970265	44971772	1508	+	RASSF4	ENSG00000107551	219	218	219	198	0.119528114107634
122947	10	44971849	44980891	9043	+	RASSF4	ENSG00000107551	0	0	0	235	0.0476544445944934
122948	10	44980928	44982520	1593	+	RASSF4	ENSG00000107551	4	80	80	24	0.0245253070472068
122949	10	44982664	44982909	246	+	RASSF4	ENSG00000107551	76	2	76	6	0.0335379666596647
122950	10	44984114	44984812	699	+	RASSF4	ENSG00000107551	80	82	82	8	0.0180545454747811
122951	10	44984971	44989273	4303	+	RASSF4	ENSG00000107551	123	123	123	8	0.00308985744513337
122952	10	44989376	44989616	241	+	RASSF4	ENSG00000107551	105	1	105	2	0.0111932373655748
122953	10	44989722	44990947	1226	+	RASSF4	ENSG00000107551	145	141	145	1	0.00123588176244072
122954	10	44991070	44991904	835	+	RASSF4	ENSG00000107551	115	112	115	9	0.0165297672159021
122955	10	44992003	44993268	1266	+	RASSF4	ENSG00000107551	126	126	126	66	0.072298044435461
122956	10	45000979	45003279	2301	+	ZNF22	ENSG00000165512	312	314	314	9	0.00238866067923735
122957	10	45127464	45129909	2446	+	CUBNP3	ENSG00000235690	0	0	0	0	0
122958	10	45130088	45130247	160	+	CUBNP3	ENSG00000235690	0	0	0	0	0
122959	10	45130432	45135601	5170	+	CUBNP3	ENSG00000235690	0	0	0	1	0.0820532034469839
122960	10	45135778	45136952	1175	+	CUBNP3	ENSG00000235690	0	0	0	0	0
122961	10	45137132	45139441	2310	+	CUBNP3	ENSG00000235690	0	0	0	0	0
122962	10	45139653	45140303	651	+	CUBNP3	ENSG00000235690	0	0	0	0	0
122963	10	45140445	45141480	1036	+	CUBNP3	ENSG00000235690	0	0	0	0	0
122964	10	45147467	45147581	115	+	AL358394.2	ENSG00000243349	0	0	0	0	0
122965	10	45148911	45149625	715	+	AL358394.2	ENSG00000243349	0	0	0	0	0
122966	10	45150660	45151583	924	+	AL358394.2	ENSG00000243349	0	0	0	0	0
122967	10	45151695	45152837	1143	+	AL358394.2	ENSG00000243349	0	0	0	0	0
122968	10	45152903	45156777	3875	+	AL358394.2	ENSG00000243349	0	0	0	0	0
122969	10	45171503	45171812	310	+	ANKRD30BP3	ENSG00000230501	0	0	0	0	0
122970	10	45171875	45174415	2541	+	ANKRD30BP3	ENSG00000230501	0	0	0	0	0
122971	10	45174631	45176723	2093	+	ANKRD30BP3	ENSG00000230501	0	0	0	0	0
122972	10	45256367	45258521	2155	+	OR6D1P	ENSG00000224402	0	0	0	0	0
122973	10	45374430	45382482	8053	+	ALOX5	ENSG00000012779	267	266	267	13	0.00135171283662652
122974	10	45382682	45395854	13173	+	ALOX5	ENSG00000012779	326	323	326	64	0.00400957606724832
122975	10	45395937	45412188	16252	+	ALOX5	ENSG00000012779	0	0	0	37	0.00200877564988238
122976	10	45412314	45424040	11727	+	ALOX5	ENSG00000012779	145	145	145	97	0.00703048793136052
122977	10	45424148	45424959	812	+	ALOX5	ENSG00000012779	126	126	126	1	0.000961659102288886
122978	10	45425133	45428360	3228	+	ALOX5	ENSG00000012779	152	1	152	193	0.0485240010773506
122979	10	45428765	45440429	11665	+	ALOX5	ENSG00000012779	195	195	195	431	0.0303465717490125
122980	10	45440634	45441343	710	+	ALOX5	ENSG00000012779	193	193	193	4	0.00453912704119127
122981	10	45441431	45443037	1607	+	ALOX5	ENSG00000012779	147	132	147	294	0.137763519062573
122982	10	45443217	45443415	199	+	ALOX5	ENSG00000012779	138	138	138	108	0.250629509090463
122983	10	45443538	45443727	190	+	ALOX5	ENSG00000012779	454	454	454	3	0.00797783631331416
122984	10	45443829	45444115	287	+	ALOX5	ENSG00000012779	433	394	433	55	0.106712349250758
122985	10	45444287	45445507	1221	+	ALOX5	ENSG00000012779	199	239	239	98	0.0560618821980589
122986	10	45679041	45681771	2731	+	AGAP10P	ENSG00000230869	0	0	0	4	0.419847328244275
122987	10	45681841	45684485	2645	+	AGAP10P	ENSG00000230869	0	0	0	0	0
122988	10	45684521	45692058	7538	+	AGAP10P	ENSG00000230869	0	0	0	1	0.0480373318693385
122989	10	45692159	45694747	2589	+	AGAP10P	ENSG00000230869	1	1	1	0	0
122990	10	45694784	45698064	3281	+	AGAP10P	ENSG00000230869	1	1	1	3	0.12
122991	10	45698117	45698755	639	+	AGAP10P	ENSG00000230869	0	0	0	0	0
122992	10	45727321	45727416	96	+	WASHC2C	ENSG00000172661	87	87	87	7	0.0773706211204829
122993	10	45727540	45728861	1322	+	WASHC2C	ENSG00000172661	146	136	146	78	0.0835134319412878
122994	10	45729027	45737982	8956	+	WASHC2C	ENSG00000172661	143	144	144	21	0.00409776867669731
122995	10	45738046	45740072	2027	+	WASHC2C	ENSG00000172661	52	49	52	6	0.00519860901718633
122996	10	45740247	45743389	3143	+	WASHC2C	ENSG00000172661	57	57	57	7	0.0040372790143153
122997	10	45743484	45744820	1337	+	WASHC2C	ENSG00000172661	76	76	76	0	0
122998	10	45744883	45746599	1717	+	WASHC2C	ENSG00000172661	178	178	178	3	0.00290105989559645
122999	10	45746648	45750095	3448	+	WASHC2C	ENSG00000172661	157	157	157	8	0.00405311633056392
123000	10	45750207	45750750	544	+	WASHC2C	ENSG00000172661	114	114	114	0	0
123001	10	45750839	45751481	643	+	WASHC2C	ENSG00000172661	137	134	137	20	0.0432723495914881
123002	10	45751554	45752587	1034	+	WASHC2C	ENSG00000172661	72	73	73	7	0.0119595005594159
123003	10	45752707	45753179	473	+	WASHC2C	ENSG00000172661	112	112	112	1	0.00297024417875931
123004	10	45753238	45754485	1248	+	WASHC2C	ENSG00000172661	117	116	117	0	0
123005	10	45754546	45754935	390	+	WASHC2C	ENSG00000172661	98	100	100	0	0
123006	10	45755116	45757009	1894	+	WASHC2C	ENSG00000172661	0	0	0	5	0.0047654591787631
123007	10	45757140	45759314	2175	+	WASHC2C	ENSG00000172661	144	113	144	22	0.0166732033331046
123008	10	45759402	45763387	3986	+	WASHC2C	ENSG00000172661	111	142	142	13	0.00562203295410774
123009	10	45763490	45765678	2189	+	WASHC2C	ENSG00000172661	98	100	100	5	0.00397094517236168
123010	10	45765811	45769448	3638	+	WASHC2C	ENSG00000172661	113	109	113	13	0.00614109781078043
123011	10	45769619	45773255	3637	+	WASHC2C	ENSG00000172661	49	52	52	7	0.003398671005474
123012	10	45773359	45777272	3914	+	WASHC2C	ENSG00000172661	17	17	17	7	0.00318856147997076
123013	10	45777426	45778952	1527	+	WASHC2C	ENSG00000172661	30	30	30	1	0.00111212570261172
123014	10	45779136	45784564	5429	+	WASHC2C	ENSG00000172661	127	127	127	5	0.00160066848114563
123015	10	45784694	45784820	127	+	WASHC2C	ENSG00000172661	64	64	64	0	0
123016	10	45784902	45785508	607	+	WASHC2C	ENSG00000172661	90	88	90	21	0.0477364445694395
123017	10	45785632	45786611	980	+	WASHC2C	ENSG00000172661	38	37	38	46	0.0793043004747318
123018	10	45786675	45787034	360	+	WASHC2C	ENSG00000172661	39	40	40	12	0.0481399283594236
123019	10	45787248	45788870	1623	+	WASHC2C	ENSG00000172661	52	55	55	24	0.026199873948384
123020	10	45789492	45790355	864	+	WASHC2C	ENSG00000172661	63	63	63	2	0.00402714046633997
123021	10	45790534	45792260	1727	+	WASHC2C	ENSG00000172661	65	65	65	10	0.010024087987361
123022	10	45972731	45975453	2723	+	TIMM23	ENSG00000265354	467	456	467	18	0.00315139538449564
123023	10	45975513	45982522	7010	+	TIMM23	ENSG00000265354	435	445	445	23	0.00163897390453213
123024	10	45982617	45982845	229	+	TIMM23	ENSG00000265354	361	358	361	5	0.00841912123027598
123025	10	45985442	45988736	3295	+	TIMM23	ENSG00000265354	622	627	627	27	0.00395994858802745
123026	10	45988848	46003202	14355	+	TIMM23	ENSG00000265354	559	554	559	273	0.00915312330822808
123027	10	46109844	46110212	369	+	AGAP7P	ENSG00000264204	0	0	0	0	0
123028	10	46110283	46112579	2297	+	AGAP7P	ENSG00000264204	0	0	0	0	0
123029	10	46112649	46115294	2646	+	AGAP7P	ENSG00000264204	0	0	0	0	0
123030	10	46115330	46123169	7840	+	AGAP7P	ENSG00000264204	0	0	0	3	1
123031	10	46123271	46125863	2593	+	AGAP7P	ENSG00000264204	0	0	0	0	0
123032	10	46125900	46129194	3295	+	AGAP7P	ENSG00000264204	0	0	0	1	1
123033	10	46129247	46129882	636	+	AGAP7P	ENSG00000264204	0	0	0	1	1
123034	10	46287042	46287339	298	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123035	10	46287511	46292057	4547	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123036	10	46292130	46293828	1699	+	ANTXRL	ENSG00000274209	0	0	0	2	0.388888888888889
123037	10	46293901	46296018	2118	+	ANTXRL	ENSG00000274209	0	0	0	2	0.326923076923077
123038	10	46296101	46296218	118	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123039	10	46296253	46297251	999	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123040	10	46297329	46297405	77	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123041	10	46297475	46297830	356	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123042	10	46297912	46298001	90	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123043	10	46298063	46302721	4659	+	ANTXRL	ENSG00000274209	1	1	1	0	0
123044	10	46302821	46306802	3982	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123045	10	46306873	46307401	529	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123046	10	46307481	46308457	977	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123047	10	46308667	46309112	446	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123048	10	46309203	46310460	1258	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123049	10	46310500	46311509	1010	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123050	10	46311666	46313235	1570	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123051	10	46313317	46329598	16282	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123052	10	46329745	46329814	70	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123053	10	46329941	46330002	62	+	ANTXRL	ENSG00000274209	0	0	0	0	0
123054	10	46337447	46337815	369	+	AGAP14P	ENSG00000279058	0	0	0	0	0
123055	10	46337885	46340187	2303	+	AGAP14P	ENSG00000279058	0	0	0	0	0
123056	10	46340257	46342905	2649	+	AGAP14P	ENSG00000279058	1	1	1	0	0
123057	10	46342941	46350517	7577	+	AGAP14P	ENSG00000279058	1	1	1	0	0
123058	10	46350619	46353205	2587	+	AGAP14P	ENSG00000279058	0	0	0	0	0
123059	10	46353242	46356542	3301	+	AGAP14P	ENSG00000279058	0	0	0	0	0
123060	10	46356594	46357238	645	+	AGAP14P	ENSG00000279058	0	0	0	1	0.393939393939394
123061	10	46476601	46536540	59940	+	AC244230.2	ENSG00000285402	0	0	0	0	0
123062	10	46579176	46580163	988	+	SYT15	ENSG00000204176	0	0	0	0	0
123063	10	46580369	46580893	525	+	SYT15	ENSG00000204176	0	0	0	1	1
123064	10	46581037	46581895	859	+	SYT15	ENSG00000204176	0	0	0	1	1
123065	10	46582192	46583731	1540	+	SYT15	ENSG00000204176	0	0	0	0	0
123066	10	46583903	46584494	592	+	SYT15	ENSG00000204176	0	0	0	0	0
123067	10	46584616	46585597	982	+	SYT15	ENSG00000204176	0	0	0	0	0
123068	10	46585778	46587504	1727	+	SYT15	ENSG00000204176	0	0	0	2	1
123069	10	46588013	46589598	1586	+	SYT15	ENSG00000204176	0	0	0	0	0
123070	10	46589674	46590402	729	+	SYT15	ENSG00000204176	0	0	0	0	0
123071	10	46605642	46607375	1734	+	AL356056.1	ENSG00000229227	0	0	0	0	0
123072	10	46607770	46609091	1322	+	AL356056.1	ENSG00000229227	0	0	0	0	0
123073	10	46609256	46611908	2653	+	AL356056.1	ENSG00000229227	1	1	1	0	0
123074	10	46632456	46633016	561	+	LINC02637	ENSG00000272430	0	0	0	0	0
123075	10	46633100	46634808	1709	+	LINC02637	ENSG00000272430	0	0	0	2	1
123076	10	46635101	46635365	265	+	LINC02637	ENSG00000272430	0	0	0	1	1
